stock_id,company_name,market,valuation_date,pe_ratio,pb_ratio,dividend_yield_pct,fetched_at
1101,台泥,twse,1150618,,0.78,3.27,2026-06-19T12:10:06
1102,亞泥,twse,1150618,12.01,0.72,6.42,2026-06-19T12:10:06
1103,嘉泥,twse,1150618,17.25,0.5,3.99,2026-06-19T12:10:06
1104,環泥,twse,1150618,11.37,0.8,6.36,2026-06-19T12:10:06
1108,幸福,twse,1150618,6.88,1.04,7.19,2026-06-19T12:10:06
1109,信大,twse,1150618,18.54,0.59,6.14,2026-06-19T12:10:06
1110,東泥,twse,1150618,48.59,0.94,1.93,2026-06-19T12:10:06
1201,味全,twse,1150618,33.03,0.82,1.67,2026-06-19T12:10:06
1203,味王,twse,1150618,25.0,1.57,2.33,2026-06-19T12:10:06
1210,大成,twse,1150618,12.96,1.82,5.48,2026-06-19T12:10:06
1213,大飲,twse,1150618,,0.75,,2026-06-19T12:10:06
1215,卜蜂,twse,1150618,12.39,3.2,6.09,2026-06-19T12:10:06
1216,統一,twse,1150618,20.14,2.93,4.03,2026-06-19T12:10:06
1217,愛之味,twse,1150618,20.58,0.66,2.53,2026-06-19T12:10:06
1218,泰山,twse,1150618,11.62,0.7,7.37,2026-06-19T12:10:06
1219,福壽,twse,1150618,26.81,0.93,3.97,2026-06-19T12:10:06
1220,台榮,twse,1150618,585.0,0.89,1.71,2026-06-19T12:10:06
1225,福懋油,twse,1150618,18.86,1.94,3.1,2026-06-19T12:10:06
1227,佳格,twse,1150618,19.93,1.38,4.6,2026-06-19T12:10:06
1229,聯華,twse,1150618,16.12,1.35,4.77,2026-06-19T12:10:06
1231,聯華食,twse,1150618,19.86,3.45,2.86,2026-06-19T12:10:06
1232,大統益,twse,1150618,16.53,3.65,5.03,2026-06-19T12:10:06
1233,天仁,twse,1150618,34.15,1.82,0.71,2026-06-19T12:10:06
1234,黑松,twse,1150618,20.87,0.76,4.73,2026-06-19T12:10:06
1235,興泰,twse,1150618,,0.6,2.66,2026-06-19T12:10:06
1236,宏亞,twse,1150618,,0.91,6.4,2026-06-19T12:10:06
1240,茂生農經,tpex,1150618,12.51,1.66,5.99,2026-06-19T12:10:06
1256,鮮活果汁-KY,twse,1150618,13.71,1.55,3.64,2026-06-19T12:10:06
1259,安心,tpex,1150618,25.89,0.73,2.07,2026-06-19T12:10:06
1264,德麥,tpex,1150618,13.07,3.01,5.52,2026-06-19T12:10:06
1268,漢來美食,tpex,1150618,14.61,2.8,4.72,2026-06-19T12:10:06
1294,漢田生技,tpex,1150618,16.16,2.74,6.33,2026-06-19T12:10:06
1295,生合,tpex,1150618,11.52,1.38,5.99,2026-06-19T12:10:06
1301,台塑,twse,1150618,,0.84,0.97,2026-06-19T12:10:06
1303,南亞,twse,1150618,60.17,2.87,0.58,2026-06-19T12:10:06
1304,台聚,twse,1150618,,0.83,1.11,2026-06-19T12:10:06
1305,華夏,twse,1150618,,1.01,0.75,2026-06-19T12:10:06
1307,三芳,twse,1150618,13.28,1.48,6.04,2026-06-19T12:10:06
1308,亞聚,twse,1150618,,0.75,1.43,2026-06-19T12:10:06
1309,台達化,twse,1150618,,1.02,1.02,2026-06-19T12:10:06
1310,台苯,twse,1150618,,0.67,,2026-06-19T12:10:06
1312,國喬,twse,1150618,,0.53,,2026-06-19T12:10:06
1313,聯成,twse,1150618,,0.54,0.86,2026-06-19T12:10:06
1314,中石化,twse,1150618,,0.39,,2026-06-19T12:10:06
1315,達新,twse,1150618,40.45,0.58,7.22,2026-06-19T12:10:06
1316,上曜,twse,1150618,,0.88,,2026-06-19T12:10:06
1319,東陽,twse,1150618,17.81,2.01,5.04,2026-06-19T12:10:06
1321,大洋,twse,1150618,,1.22,,2026-06-19T12:10:06
1323,永裕,twse,1150618,35.36,0.7,4.55,2026-06-19T12:10:06
1324,地球,twse,1150618,,0.88,1.92,2026-06-19T12:10:06
1325,恆大,twse,1150618,,0.86,1.15,2026-06-19T12:10:06
1326,台化,twse,1150618,361.33,0.85,1.11,2026-06-19T12:10:06
1336,台翰,tpex,1150618,40.54,0.62,1.73,2026-06-19T12:10:06
1337,再生-KY,twse,1150618,,0.37,,2026-06-19T12:10:06
1338,廣華-KY,twse,1150618,,0.24,1.74,2026-06-19T12:10:06
1339,昭輝,twse,1150618,10.39,0.8,5.69,2026-06-19T12:10:06
1340,勝悅-KY,twse,1150618,,0.33,,2026-06-19T12:10:06
1341,富林-KY,twse,1150618,15.2,2.76,6.45,2026-06-19T12:10:06
1342,八貫,twse,1150618,19.5,4.33,5.17,2026-06-19T12:10:06
1402,遠東新,twse,1150618,17.92,0.66,4.33,2026-06-19T12:10:06
1409,新纖,twse,1150618,18.96,0.98,3.52,2026-06-19T12:10:06
1410,南染,twse,1150618,46.02,1.47,0.8,2026-06-19T12:10:06
1413,宏洲,twse,1150618,22.48,1.12,,2026-06-19T12:10:06
1414,東和,twse,1150618,60.34,1.21,1.14,2026-06-19T12:10:06
1416,廣豐,twse,1150618,12.91,0.46,5.14,2026-06-19T12:10:06
1417,嘉裕,twse,1150618,18.93,0.69,2.93,2026-06-19T12:10:06
1418,東華,twse,1150618,,0.84,,2026-06-19T12:10:06
1419,新紡,twse,1150618,5.1,0.98,2.68,2026-06-19T12:10:06
1423,利華,twse,1150618,10.52,1.07,9.08,2026-06-19T12:10:06
1432,大魯閣,twse,1150618,3.23,1.19,11.36,2026-06-19T12:10:06
